This is the raw data file for the forecasting simulation 

Columns are as follows:
Date--S&PHigh--S&PLo--NYSEA/D--NASDAQA/D--NYSENewH/L--NASDAQNewH/L--NYSEV--NYSEA/DV--NASDAQV--NASDAQA/DV--3MoTBill-30YrTBo--Gold--S&PClose

801121	141.24	138.10	169.333	183.333	20.5	30.8333	55950	1742.5	50080	2108.38	14.31	11.82	634.7	139.11
801128	141.54	139.00	236.333	207	18.1667	28.3333	34240	1951.25	31570	2166	14.38	11.77	626.0	140.52
801205	136.37	132.91	129	89.6667	4.16667	11.1667	51990	855	45210	1530.38	14.65	11.80	617.0	134.03
801212	129.98	127.15	351	290.333	1	2.66667	39530	3591.25	29740	1991.38	16.34	11.92	562.7	129.13
801219	134.00	131.80	361.667	274.333	6.33333	8.83333	50770	3923.75	28990	1581.88	16.67	12.25	575.0	133.70
801226	137.02	135.20	283.333	186	6.5	7.16667	16130	1161.25	12610	594.5	14.99	12.15	601.0	136.57
810102	137.10	134.61	353.667	226.667	9.5	12.5	28870	2195	19720	1137.75	13.91	11.38	586.0	136.34
810109	134.76	131.71	303	279.333	4	8.16667	50190	3618.75	37400	2799.25	13.60	11.49	577.7	133.48
810116	135.91	133.35	293.333	240.667	7	0	43260	2903.75	32990	2000.25	15.32	11.39	560.7	134.77
810123	131.34	129.00	227.667	173.667	4	8.66667	37220	2072.5	26600	1108	15.60	11.62	553.0	130.23
810130	131.65	128.61	242.333	188.667	7.66667	9.66667	41160	2105	29670	1316	15.20	11.79	506.5	129.55
810206	131.81	129.03	325.667	278.333	7.16667	11.6667	45820	3658.75	31540	2214.38	14.66	11.80	500.5	130.60
810213	128.34	126.04	178.667	140	3	6.33333	33360	1315	23320	749.625	15.40	12.02	491.5	126.98
810220	127.65	124.66	213	153.667	3	4.83333	41900	1928.75	27420	823.125	15.46	12.41	511.5	126.58
810227	132.02	129.35	344	258.333	17.6667	11	53210	4545	28630	1647.5	14.10	12.21	489.0	131.27
810306	131.18	128.56	265.333	207.667	9.5	11.1667	43940	2600	30910	1315.25	14.46	12.32	467.0	129.85
810313	135.53	132.39	326	272	23.6667	16.8333	68290	4851.25	34290	1784.88	14.00	12.42	492.0	133.11
810320	135.29	132.50	352.667	273.667	28.1667	22	61980	5231.25	33980	2095.38	12.76	12.07	516.7	134.08
810327	136.89	133.91	166	139	13	14.8333	46930	1526.25	32110	1118.75	12.70	11.77	538.7	134.65
810403	137.04	134.67	212.667	221	15.5	34.6667	48680	2191.38	33800	1897	12.50	12.29	523.0	135.49
810410	136.23	133.18	283.667	251	25	39.3333	58130	3937.5	33960	1841	14.15	12.25	493.5	134.51
810416	135.82	133.43	313.333	291.333	24.3333	44.3333	52950	3747.5	40080	2394.63	13.78	12.56	482.5	134.70
810424	136.00	132.88	317.667	272	21.1667	44.8333	60000	5065	38100	2172.63	13.55	12.66	494.5	135.14
810501	134.17	131.43	197	184.333	6	21.1667	48360	2358.75	33690	1720.13	14.19	12.65	487.5	132.72
810508	132.69	130.84	277	267	3.83333	16.3333	41860	2542.5	31510	1848.88	15.96	12.89	485.7	131.66
810515	133.21	130.75	334.333	252.333	11.5	23	45460	3827.5	33490	1709.5	16.43	13.28	485.0	132.17
810522	132.65	130.42	262.667	217	11.5	24.1667	40710	2512.5	28920	1631.13	16.03	13.13	472.7	131.33
810529	134.36	131.52	257.333	226	21	36.6667	51580	2728.75	39260	1828.5	16.75	12.80	479.2	132.59
810605	132.98	130.17	299	241.667	13.5	24	47180	3980	33320	1697.25	15.46	12.56	460.0	132.22
810612	135.09	132.40	296	249.333	26	26.3333	60790	4232.5	34500	1633	14.98	12.48	472.0	133.49
810619	133.27	130.49	235.667	214	5.33333	12.8333	46430	2602.5	31990	1685.5	13.45	12.30	458.2	132.27
810626	133.75	131.71	201	185.333	4.5	17.6667	39240	2002.5	33890	1875.13	14.34	12.18	442.0	132.56
810702	130.48	127.84	150	111.667	1.5	6.83333	45100	1405	27290	619.375	13.91	12.48	414.5	128.64
810710	130.43	128.38	256.667	230	1.66667	7.66667	39950	2665	28200	1412.5	14.40	12.76	416.5	129.37
810717	131.60	129.49	264.667	227	3.16667	11.5	42780	2643.75	29330	1620.75	14.56	12.85	415.0	130.76
810724	129.31	127.11	315.667	251.667	1.66667	7.16667	38880	2985	32030	1537.5	15.56	12.84	407.5	128.46
810731	131.78	129.60	328.667	254.667	3.5	9.33333	43480	3711.25	30070	1448.13	15.07	13.28	406.0	130.92
810807	133.04	130.96	184	164.333	3	9.83333	38370	1571.75	31390	1412.5	15.67	13.30	397.2	131.75
810814	134.33	131.91	184.333	162.333	5.33333	8.5	42580	1812.5	29440	936.875	15.24	13.58	413.0	132.49
810821	131.06	128.70	140.667	138.667	1.83333	4.33333	37670	957.5	30160	872	15.71	13.25	429.5	129.23
810828	125.09	122.85	259.667	203.333	0.666667	3.33333	38020	2535	23430	1028.38	15.83	13.46	425.0	124.08
810904	121.54	119.24	140.667	83.3333	0.666667	1.83333	42760	1256.25	26430	600.875	15.61	14.02	439.5	120.07
810911	122.13	119.29	375	334.333	0.5	3.83333	42170	3670	30530	1665.13	14.41	14.20	448.2	121.61
810918	117.69	115.18	157.333	115.667	0.333333	1.33333	47350	1487.5	27740	627.75	14.20	14.18	447.0	116.26
810925	114.69	111.64	51.6667	44.6667	0.5	1	52700	483	31160	204.875	14.67	13.85	450.5	112.77
